[auto 2026-08-23T01:41:59-04:00] autopilot start: max 24 arms, then the eval battery
[auto 2026-08-23T01:41:59-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T01:46:59-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T01:51:43-04:00] autopilot start: max 4 arms, then the eval battery
[auto 2026-08-23T01:51:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T01:56:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:01:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:06:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:10:44-04:00] autopilot start: max 4 arms, then the eval battery
[auto 2026-08-23T02:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T02:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T03:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T04:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T05:45:45-04:00] GPU busy (another chain or a model resident); waiting
