[auto 2026-08-23T10:59:02-04:00] autopilot start: max 4 arms, then the eval battery
[auto 2026-08-23T10:59:02-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:04:02-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:09:02-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:14:02-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:15:38-04:00] autopilot start: max 4 arms, then the eval battery
[auto 2026-08-23T11:15:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:20:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:25:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:30:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:35:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:40:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:45:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:50:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T11:55:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:00:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:05:38-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:10:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:15:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:20:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:25:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:30:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:35:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:40:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:45:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:50:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T12:55:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:00:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:05:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:10:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:15:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:20:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:25:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:30:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:35:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:40:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:45:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:50:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T13:55:39-04:00] GPU busy (another chain or a model resident); waiting
